,0,1,2
53,https://www.chess.com/live/game/1462668950,https://www.chess.com/openings/Van-Geet-Opening-Reversed-Nimzowitsch-Variation-2.e3,nishokreddy won by checkmate
54,https://www.chess.com/live/game/1463892863,https://www.chess.com/openings/Queens-Pawn-Opening-Horwitz-Defense-2.c4,fun_man won by checkmate
55,https://www.chess.com/live/game/1463909762,https://www.chess.com/openings/Vant-Kruijs-Opening-1...e5,fun_man won by resignation
56,https://www.chess.com/live/game/1463983025,https://www.chess.com/openings/Vant-Kruijs-Opening-1...e5-2.Bc4,knight2meetu won by checkmate
57,https://www.chess.com/live/game/1465337386,https://www.chess.com/openings/Queens-Pawn-Opening-Zukertort-Chigorin-Variation,walter_96 won by checkmate
58,https://www.chess.com/live/game/1465352379,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-McConnell-Defense,pierrehu won by resignation
59,https://www.chess.com/live/game/1465358176,https://www.chess.com/openings/French-Defense-Steinitz-Attack,autograf won by checkmate
60,https://www.chess.com/live/game/1504457814,https://www.chess.com/openings/Vant-Kruijs-Opening,coolaid9 won by checkmate
61,https://www.chess.com/live/game/1504472709,https://www.chess.com/openings/French-Defense-Queens-Knight-Variation,aniraisha won - game abandoned
62,https://www.chess.com/live/game/1541182219,https://www.chess.com/openings/Kings-Pawn-Opening-MacLeod-Attack,fun_man won by checkmate
63,https://www.chess.com/live/game/1541197019,https://www.chess.com/openings/Vant-Kruijs-Opening,fun_man won by checkmate
64,https://www.chess.com/live/game/1541208510,https://www.chess.com/openings/Queens-Pawn-Opening-1...d5-2.e3,alfisyahrin27 won on time
65,https://www.chess.com/live/game/1586801058,https://www.chess.com/openings/Pirc-Defense,Hacivat12 won by checkmate
66,https://www.chess.com/live/game/1586814587,https://www.chess.com/openings/English-Opening-Kings-English-Variation-2.e3,fun_man won by checkmate
67,https://www.chess.com/live/game/1586821089,https://www.chess.com/openings/Van-Geet-Opening-Reversed-Nimzowitsch-Variation-2.e3,fun_man won by checkmate
68,https://www.chess.com/live/game/1586864721,https://www.chess.com/openings/Pirc-Defense-Maroczy-Defense-3.dxe5,quadrewple won on time
69,https://www.chess.com/live/game/1687037045,https://www.chess.com/openings/Vant-Kruijs-Opening-1...d5,Game drawn by timeout vs insufficient material
70,https://www.chess.com/live/game/1687061642,https://www.chess.com/openings/Bishops-Opening-Berlin-Ponziani-Gambit,5647895122 won by resignation
71,https://www.chess.com/live/game/1687070177,https://www.chess.com/openings/Four-Knights-Game-Spanish-Variation,fun_man won by checkmate
72,https://www.chess.com/live/game/1687461550,https://www.chess.com/openings/Center-Game,twocheckedmates won by checkmate
73,https://www.chess.com/live/game/1687466562,https://www.chess.com/openings/Vant-Kruijs-Opening-1...e5,PEPEBLANCO won on time
74,https://www.chess.com/live/game/1690189564,https://www.chess.com/openings/Vant-Kruijs-Opening-1...e5,RIDDHIP won by resignation
75,https://www.chess.com/live/game/1697720812,https://www.chess.com/openings/Queens-Pawn-Opening-Chigorin-Variation,23456poker won by resignation
76,https://www.chess.com/live/game/1697879821,https://www.chess.com/openings/Polish-Opening-1...d5,fun_man won on time
77,https://www.chess.com/live/game/1698303959,https://www.chess.com/openings/Vant-Kruijs-Opening-1...d5,Bobbykalra won on time
78,https://www.chess.com/live/game/1698363828,https://www.chess.com/openings/Modern-Defense-with-1-e4,fun_man won by checkmate
79,https://www.chess.com/live/game/1699778499,https://www.chess.com/openings/Barnes-Opening-1...d5-2.e4,nesagatra won by checkmate
80,https://www.chess.com/live/game/1699788342,https://www.chess.com/openings/Petrovs-Defense-Three-Knights-Game,AlexisGM won by resignation
81,https://www.chess.com/live/game/1699804835,https://www.chess.com/openings/Portuguese-Opening,fun_man won - game abandoned
82,https://www.chess.com/live/game/1699818429,https://www.chess.com/openings/Queens-Pawn-Opening-Zukertort-Chigorin-Variation,orthosak won by resignation
83,https://www.chess.com/live/game/1699829964,https://www.chess.com/openings/Kings-Pawn-Opening-Wayward-Queen-Attack,harman_akil won by resignation
84,https://www.chess.com/live/game/1700629616,https://www.chess.com/openings/Italian-Game-Knight-Attack-Normal-Variation-5.exd5-Nxd5,fun_man won by checkmate
85,https://www.chess.com/daily/game/144189588,https://www.chess.com/openings/Petrovs-Defense-Urusov-Gambit,Nomkhondalai won by resignation
86,https://www.chess.com/live/game/1700837042,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Damiano-Defense,Laurabreit won on time
87,https://www.chess.com/live/game/1701018024,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Damiano-Defense,fun_man won by checkmate
88,https://www.chess.com/live/game/1701143180,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Variation-2...Nc6,trevor43 won by checkmate
89,https://www.chess.com/live/game/1701303523,https://www.chess.com/openings/Petrovs-Defense-Urusov-Lichtenhein-Defense,fun_man won by resignation
90,https://www.chess.com/live/game/1702400809,https://www.chess.com/openings/Italian-Game,alessandro2051 won by checkmate
91,https://www.chess.com/live/game/1702489576,https://www.chess.com/openings/French-Defense-Queens-Knight-Variation-2...d5,kanupw won by resignation
92,https://www.chess.com/live/game/1705086051,https://www.chess.com/openings/Vienna-Game-Max-Lange-Defense,PeterMiguel won by resignation
93,https://www.chess.com/daily/game/144354784,https://www.chess.com/openings/Philidor-Defense,Vishnu1023 won on time
94,https://www.chess.com/daily/game/144354796,https://www.chess.com/openings/French-Defense-Steinitz-Attack,Vishnu1023 won on time
95,https://www.chess.com/live/game/1713435099,https://www.chess.com/openings/Nimzowitsch-Larsen-Attack-English-Variation,ciobanuioan won by resignation
96,https://www.chess.com/live/game/1713438320,https://www.chess.com/openings/Kings-Pawn-Opening-Owen-Defense-2.d4,fun_man won by resignation
97,https://www.chess.com/live/game/1714594306,https://www.chess.com/openings/Slav-Defense-3.Nc3,fun_man won by checkmate
98,https://www.chess.com/live/game/1714607767,https://www.chess.com/openings/Queens-Pawn-Opening-1...d5,stevdjentttt won by checkmate
99,https://www.chess.com/live/game/1716434600,https://www.chess.com/openings/Four-Knights-Game-Scotch-Variation-4...d6,crocmac12 won by resignation
100,https://www.chess.com/live/game/1722338718,https://www.chess.com/openings/Sicilian-Defense,fun_man won by checkmate
101,https://www.chess.com/live/game/1722365445,https://www.chess.com/openings/French-Defense-Steinitz-Attack,fun_man won by checkmate
102,https://www.chess.com/live/game/1723031181,https://www.chess.com/openings/Italian-Game,fun_man won by checkmate
